,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
2318,002846,英联股份,广告包装,广东,118.72,0.3,1.2,60783.8,40894.3,14471.37,24976.35,2.08,0.11,4.3,10.81,20170207,12964.75,1.08,0.0,0.0,28.14,14.6,12056
2634,603677,奇精机械,机械基件,浙江,46.51,0.2,0.8,90648.75,58582.71,20857.4,16406.73,2.05,1.47,7.62,6.73,20170206,20680.72,2.59,-11.32,14.13,20.92,7.89,18559
1687,603360,百傲化学,化工原料,辽宁,44.71,0.33,1.33,60197.65,23626.67,24133.18,9462.15,0.71,0.544,4.33,7.49,20170206,20489.51,1.54,0.0,0.0,49.34,24.7,31616
1195,300602,飞荣达,元器件,深圳,44.98,0.25,1.0,78993.96,59788.05,9119.86,5789.02,0.58,0.758,6.86,6.63,20170126,35376.81,3.54,0.0,0.0,31.76,13.34,45581
2738,300603,立昂技术,通信设备,新疆,124.24,0.26,1.03,61142.3,49882.21,2331.88,6369.33,0.62,0.46,3.48,12.34,20170126,10743.16,1.05,30.68,36.47,20.34,9.78,16684
1551,603089,正裕工业,汽车配件,浙江,43.63,0.27,1.07,70832.82,47935.8,14651.05,10589.28,0.99,1.1,5.07,7.12,20170126,18619.4,1.75,21.03,31.3,29.42,12.75,18900
2169,603358,华达科技,汽车配件,江苏,30.03,0.4,1.6,250436.05,152656.86,80212.61,41137.95,2.57,2.42,10.5,5.2,20170125,66855.68,4.18,15.0,13.06,23.69,10.68,27234
196,002845,同兴达,元器件,深圳,110.36,0.24,0.96,171518.3,148252.63,19022.92,12223.2,1.27,0.419,5.65,10.9,20170125,19922.9,2.08,0.0,0.0,7.92,2.24,11508
3094,603966,法兰泰克,机械基件,江苏,82.08,0.4,1.6,77415.3,56529.23,15081.79,14733.8,0.92,0.47,4.3,6.79,20170125,21348.32,1.33,-2.01,5.72,25.1,10.52,38467
2547,300578,会畅通讯,通信设备,上海,97.19,0.18,0.72,17159.75,14248.6,2154.25,428.68,0.06,0.58,2.42,17.56,20170125,5357.76,0.74,0.79,-5.69,48.54,12.48,10065
423,300600,瑞特股份,电气设备,江苏,55.45,0.25,1.0,70882.43,44367.9,15462.57,9876.7,0.99,1.36,6.89,8.18,20170125,30891.75,3.09,21.87,-4.76,54.29,27.65,13730
3057,002839,张家港行,银行,江苏,46.6,1.81,18.08,8756601.0,0.0,0.0,0.0,0.0,0.285,4.59,3.87,20170124,0.0,0.0,-2.14,-4.09,0.0,29.35,298143
2000,603429,集友股份,广告包装,安徽,92.59,0.17,0.68,32281.05,15089.73,14258.35,5908.8,0.87,1.04,3.99,18.04,20170124,8615.16,1.27,6.93,12.66,51.74,28.21,4124
1929,601881,中国银河,证券,北京,24.02,6.0,101.37,24588052.0,0.0,29920.6,2167317.5,2.14,0.54,6.08,2.01,20170123,1457496.13,1.44,-49.58,-47.6,0.0,38.92,476376
2716,300599,雄塑科技,塑料,广东,65.11,0.76,3.04,109598.9,50698.07,38369.56,17240.01,0.57,0.238,2.79,7.41,20170123,20844.02,0.69,0.0,0.0,22.98,8.81,129989
2196,300597,吉大通信,通信设备,吉林,96.6,0.6,2.4,55637.68,51415.14,2847.8,0.0,0.0,0.151,2.21,8.78,20170123,19615.4,0.82,0.0,0.0,28.06,13.22,105074
2296,002843,泰嘉股份,钢加工,湖南,140.16,0.35,1.4,45850.73,21491.47,21154.92,3406.09,0.24,0.39,3.84,10.74,20170120,22337.65,1.6,1.78,0.42,40.3,16.52,17849
2656,300592,华凯创意,软件服务,湖南,0.0,0.31,1.22,81328.5,72294.27,5853.87,16976.25,1.39,0.0,3.75,6.83,20170120,16301.45,1.33,0.0,0.0,26.97,-0.06,13566
1850,603037,凯众股份,汽车配件,上海,40.72,0.2,0.8,49588.8,37476.78,8200.25,17889.2,2.24,1.48,6.9,6.54,20170120,14845.82,1.86,30.27,38.19,48.01,27.24,18508
741,300598,诚迈科技,软件服务,江苏,69.49,0.2,0.8,36148.94,28534.97,839.49,5471.66,0.68,0.84,4.62,9.5,20170120,14660.72,1.83,14.69,17.55,31.55,10.0,16178
1955,603638,艾迪精密,专用机械,山东,38.92,0.44,1.76,94335.86,53273.05,30918.6,35418.55,2.01,0.19,4.46,6.08,20170120,22686.59,1.29,0.0,0.0,43.52,22.02,20201
2412,002841,视源股份,元器件,广东,46.85,0.41,4.04,285982.5,227939.45,39754.15,0.0,0.0,2.04,3.43,25.12,20170119,80738.0,2.0,37.39,109.32,20.78,9.01,25449
2207,002842,翔鹭钨业,小金属,广东,63.53,0.25,1.0,75118.06,58211.16,0.0,0.0,0.0,0.472,6.07,6.59,20170119,0.0,0.0,-9.9,12.29,0.0,9.12,48379
1701,603337,杰克股份,纺织机械,浙江,29.96,0.52,2.07,167661.98,89574.11,57706.01,250.07,0.01,0.773,6.12,5.05,20170119,73017.81,3.53,0.0,0.0,30.92,11.22,46203
1712,300596,利安隆,化工原料,天津,47.69,0.3,1.2,90296.46,57378.58,21907.57,15480.65,1.29,1.01,5.61,6.42,20170119,23571.03,1.96,33.66,22.93,27.44,11.21,53424
1973,601858,中国科传,出版业,北京,95.28,1.31,7.91,294155.75,0.0,0.0,0.0,0.0,0.116,2.99,4.95,20170118,0.0,0.0,0.0,0.0,0.0,8.5,120666
2775,300595,欧普康视,医疗保健,安徽,55.35,0.17,0.68,35750.15,27110.76,3185.86,6352.43,0.93,2.24,6.11,15.2,20170117,17146.46,2.52,33.35,28.56,74.08,48.52,10469
