,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Drop_Down
3090,603039,泛微网络,软件服务,上海,90.71,0.17,0.67,74670.45,60431.88,11742.99,0.0,0.0,1.3,5.9,15.04,20170113,21910.39,3.29,45.56,29.41,95.93,14.14,15448,-27.83
3079,603886,元祖股份,食品,上海,39.72,0.6,2.4,152418.31,100271.96,24310.85,51.17,0.0,0.616,2.87,11.38,20161228,26176.59,1.09,1.11,22.64,64.03,11.13,55808,-27.8
3032,603578,三星新材,玻璃,浙江,130.92,0.22,0.88,29902.66,19808.64,7260.71,6384.37,0.73,0.542,3.35,21.2,20170306,7408.62,0.84,14.72,26.46,28.48,17.44,23239,-27.79
131,603330,上海天洋,塑料,上海,102.84,0.15,0.6,44976.35,28997.66,0.0,0.0,0.0,0.664,7.75,11.75,20170213,0.0,0.0,0.0,0.0,0.0,13.88,14043,-27.78
34,300618,寒锐钴业,小金属,江苏,148.56,0.3,1.2,80345.5,53050.67,21414.82,13453.65,1.12,0.555,4.15,19.85,20170306,12583.58,1.05,-20.24,134.5,23.2,8.96,53659,-27.71
12,603717,天域生态,环境保护,重庆,36.42,0.43,1.73,148173.72,133743.36,1548.83,12737.9,0.74,0.636,4.64,5.0,20170327,31289.65,1.81,0.64,11.91,30.18,13.31,39348,-27.62
2955,002837,英维克,专用机械,深圳,64.7,0.2,0.8,57324.76,53565.11,0.0,0.0,0.0,0.689,4.51,13.17,20161229,0.0,0.0,30.74,13.42,0.0,14.83,36772,-27.46
2991,603035,常熟汽饰,汽车配件,江苏,38.27,0.7,2.8,226379.91,74375.7,0.0,0.0,0.0,0.568,6.39,4.53,20170105,0.0,0.0,37.51,1.08,24.52,15.95,64312,-27.2
42,603179,新泉股份,汽车配件,江苏,55.12,0.4,1.59,199872.56,139237.27,40132.15,21180.64,1.33,0.713,4.97,7.91,20170317,24215.32,1.52,89.65,116.24,24.55,6.64,38383,-27.16
2723,601611,中国核建,建筑施工,北京,68.1,5.25,26.25,6935044.0,5771149.0,290926.94,110020.7,0.42,0.22,3.18,5.48,20160606,317678.72,1.21,0.0,0.0,9.15,1.84,197790,-27.11
384,603822,嘉澳环保,环境保护,浙江,120.03,0.18,0.73,100023.11,43065.55,26160.97,24156.39,3.29,0.64,8.64,8.12,20160428,28476.43,3.88,-1.1,10.38,21.5,8.47,12908,-27.09
2716,300576,容大感光,染料涂料,深圳,108.99,0.2,0.8,32932.92,24597.1,3016.58,5514.1,0.69,0.345,3.85,13.0,20161220,10675.37,1.33,11.75,34.28,35.96,12.11,36455,-27.01
46,603903,中持股份,环境保护,北京,80.83,0.26,1.02,81299.31,44394.03,217.78,21098.67,2.06,0.456,5.64,6.54,20170314,13382.87,1.31,24.02,3.14,27.02,11.43,26734,-26.84
3093,603298,杭叉集团,专用机械,浙江,44.33,0.87,6.19,341123.97,248062.91,0.0,0.0,0.0,0.505,3.9,7.66,20161227,0.0,0.0,0.0,0.0,0.0,7.98,77892,-26.55
3055,603928,兴业股份,化工原料,江苏,50.71,0.5,2.02,74289.25,51164.34,0.0,0.0,0.0,0.417,3.89,7.24,20161212,0.0,0.0,0.0,0.0,0.0,14.35,47511,-26.46
33,603960,克来机电,专用机械,上海,79.43,0.2,0.8,38050.3,24863.05,3202.75,6440.65,0.81,0.447,3.9,9.11,20170314,9833.0,1.23,24.25,16.88,35.39,18.6,18573,-26.46
2126,601229,上海银行,银行,上海,9.88,6.0,60.04,165092416.0,0.0,390415.59,2039269.75,3.4,1.817,19.13,1.25,20161116,3215868.5,5.36,0.0,0.0,0.0,41.3,551958,-26.44
2294,603726,朗迪集团,机械基件,浙江,78.78,0.24,0.95,104188.1,64570.9,31043.68,21045.53,2.22,0.59,7.66,7.2,20160421,40032.71,4.23,0.0,0.0,27.52,9.05,15304,-26.42
3026,002828,贝肯能源,石油开采,新疆,107.27,0.29,1.17,92394.52,60252.73,0.0,0.0,0.0,0.311,5.59,7.95,20161208,0.0,0.0,0.0,0.0,22.21,10.34,55313,-25.88
2560,603038,华立股份,装修装饰,广东,47.77,0.17,0.67,71994.88,41496.85,24199.65,68.73,0.01,1.099,10.07,6.95,20170116,42778.67,6.41,0.0,0.0,35.49,18.18,15525,-25.61
3038,603358,华达科技,汽车配件,江苏,41.05,0.4,1.6,222431.52,129601.75,66183.4,41137.95,2.57,1.255,9.75,7.05,20170125,58091.18,3.63,0.0,0.0,24.3,10.85,37132,-25.56
2697,300585,奥联电子,汽车配件,江苏,92.94,0.2,0.8,35248.01,21864.56,9719.71,5280.45,0.66,0.461,3.83,14.91,20161229,10740.83,1.34,17.13,24.91,41.03,16.78,36518,-25.16
562,601997,贵阳银行,银行,贵州,11.03,5.0,22.99,32731974.0,0.0,186792.09,485419.31,2.11,1.46,8.93,1.93,20160816,940857.69,4.09,0.0,0.0,0.0,38.2,162031,-25.0
3050,300579,数字认证,软件服务,北京,230.67,0.2,0.8,40868.62,36677.76,1627.78,3349.91,0.42,0.225,3.58,19.38,20161223,10674.12,1.33,24.91,36.47,58.74,7.68,14147,-24.97
6,603133,碳元科技,元器件,江苏,50.73,0.52,2.08,68831.32,43322.55,15079.5,12598.88,0.61,0.396,3.24,6.2,20170320,18411.78,0.89,40.6,51.09,30.32,17.67,14,-24.71
663,002823,凯中精密,机械基件,深圳,71.37,0.36,1.44,109496.15,47008.43,0.0,0.0,0.0,0.617,4.69,12.5,20161124,0.0,0.0,0.0,0.0,0.0,11.3,26569,-24.63
3067,300588,熙菱信息,软件服务,新疆,195.72,0.25,1.0,56614.28,51147.35,620.26,2811.37,0.28,0.191,2.53,19.73,20170105,8074.63,0.81,0.0,0.0,20.97,5.47,12562,-24.53
13,300622,博士眼镜,其他商业,深圳,75.84,0.21,0.86,29869.85,23288.67,4237.21,9865.71,1.15,0.44,3.81,8.76,20170315,6525.46,0.76,10.72,7.06,75.74,9.08,40152,-24.24
2939,300589,江龙船艇,船舶,广东,161.12,0.22,0.87,48683.78,25470.63,0.0,0.0,0.0,0.233,2.35,21.29,20170113,0.0,0.0,51.04,72.36,19.77,7.16,39800,-24.08
2937,603037,凯众股份,汽车配件,上海,53.74,0.2,0.8,43280.25,32065.02,0.0,0.0,0.0,0.808,6.53,8.87,20170120,0.0,0.0,0.0,0.0,0.0,28.92,18508,-23.97
3122,300575,中旗股份,农药化肥,江苏,61.78,0.18,0.73,99494.96,53228.15,30453.76,12238.74,1.67,0.761,9.4,6.67,20161220,30499.8,4.16,2.32,-18.88,21.41,9.09,13808,-23.94
3140,603444,吉比特,互联网,福建,39.62,0.18,0.71,133452.05,113301.65,3485.8,676.39,0.1,6.485,16.85,20.33,20170104,81245.15,11.42,300.55,235.67,96.28,50.15,17703,-23.72
2962,603337,杰克股份,纺织机械,浙江,37.61,0.52,2.07,167661.98,89574.11,57706.01,250.07,0.01,0.773,6.12,6.34,20170119,73017.81,3.53,0.0,0.0,30.92,11.22,46203,-23.69
3017,300590,移为通信,通信设备,上海,79.67,0.2,0.8,19933.81,19129.63,189.71,169.74,0.02,0.721,2.74,27.92,20170111,8948.9,1.12,-14.37,-18.95,61.07,32.93,36564,-23.6
3076,603585,苏利股份,化工原料,江苏,42.2,0.25,1.0,121049.42,73447.21,32697.65,17487.23,1.75,1.304,8.91,8.24,20161214,37091.34,3.71,0.0,0.0,33.56,13.02,26947,-23.51
1530,300595,欧普康视,医疗保健,安徽,71.11,0.17,0.68,35750.15,27110.76,3185.86,6352.43,0.93,2.24,6.11,19.52,20170117,17146.46,2.52,33.35,28.56,74.08,48.52,10469,-23.51
3105,002838,道恩股份,塑料,山东,71.67,0.21,0.84,67476.68,40767.73,13757.82,9038.25,1.08,0.732,7.19,9.72,20170106,27768.75,3.31,19.03,48.28,25.35,11.32,9994,-23.44
3135,603639,海利尔,农药化肥,山东,38.12,0.3,1.2,96895.55,58693.55,17550.51,8883.05,0.74,1.152,7.43,7.89,20170112,45427.34,3.79,1.09,13.13,35.79,16.0,32221,-23.43
2596,603816,顾家家居,家居用品,浙江,36.61,0.83,4.13,521964.09,378541.16,105852.32,198197.63,4.8,1.67,8.33,6.12,20161014,81774.56,1.98,30.11,15.4,40.44,11.99,38514,-23.37
1760,603868,飞科电器,家用电器,上海,37.11,0.44,4.36,251667.77,178115.13,43988.78,68734.88,1.58,1.01,4.17,11.44,20160418,56438.71,1.3,0.0,0.0,38.5,18.05,25553,-22.49
3005,002847,盐津铺子,食品,湖南,78.17,0.31,1.24,57583.73,22546.11,28614.84,7108.93,0.57,0.92,3.28,16.48,20170208,12448.92,1.0,17.09,30.89,49.19,12.53,53384,-22.1
23,002819,东方中科,电器仪表,北京,189.0,0.28,1.13,37448.25,32769.46,4417.0,4937.33,0.44,0.202,3.67,13.92,20161111,16137.75,1.42,0.0,0.0,13.79,4.84,49910,-22.1
25,603656,泰禾光电,专用机械,安徽,46.14,0.19,0.76,50246.01,35605.1,11964.15,4719.93,0.62,1.101,6.77,7.51,20170321,24699.45,3.25,19.52,11.36,52.65,22.57,17687,-22.04
335,300567,精测电子,电器仪表,湖北,111.14,0.2,0.8,52411.3,46219.73,2577.2,1836.0,0.23,0.626,4.95,18.72,20161122,19880.13,2.49,0.0,0.0,50.58,14.68,8447,-21.82
2,603178,N圣龙,汽车配件,浙江,26.79,0.5,2.0,152049.06,60084.26,55250.7,1732.39,0.09,0.405,2.72,3.98,20170328,21428.82,1.07,12.33,17.81,23.24,6.46,49497,-21.74
19,603138,海量数据,软件服务,北京,124.45,0.21,0.82,40168.92,33864.15,1368.15,982.8,0.12,0.532,2.7,24.53,20170306,8232.1,1.0,20.22,20.58,20.52,9.27,20596,-21.37
3061,603266,天龙股份,塑料,浙江,57.38,0.25,1.0,68048.63,46028.76,15840.17,4256.5,0.43,0.614,5.49,8.56,20170110,27635.02,2.76,15.93,43.05,29.97,10.67,25599,-21.2
3016,603416,信捷电气,电气设备,江苏,71.03,0.25,1.0,47691.9,37858.3,0.0,0.0,0.0,0.641,5.08,11.96,20161221,0.0,0.0,12.66,15.55,0.0,26.15,27130,-21.05
376,603323,吴江银行,银行,江苏,26.45,1.12,11.14,7785579.0,0.0,107203.9,100000.0,0.9,0.505,7.02,2.54,20161129,91281.2,0.82,0.0,0.0,0.0,32.42,105611,-20.91
21,603040,新坐标,机械基件,浙江,120.08,0.15,0.6,28087.99,11315.2,12260.94,3541.83,0.59,0.556,5.72,15.56,20170209,15812.85,2.64,0.0,0.0,65.3,33.22,15006,-20.15
32,300628,亿联网络,通信设备,福建,42.98,0.19,0.75,90742.28,80902.3,1444.17,2480.91,0.33,5.79,14.37,17.32,20170317,69563.43,9.32,39.56,74.59,63.13,46.8,34252,-20.11
44,002856,美芝股份,装修装饰,深圳,57.59,0.25,1.01,109391.71,105008.36,757.1,6482.72,0.64,0.514,4.48,6.61,20170320,17707.4,1.75,-10.61,11.71,15.15,5.49,46989,-20.01
2850,002829,星网宇达,通信设备,北京,99.64,0.19,0.76,87689.06,61432.13,21217.64,34711.35,4.57,1.29,9.29,10.35,20161213,26418.15,3.48,16.99,9.9,50.48,26.43,13094,-19.96
1836,601881,中国银河,证券,北京,31.19,6.0,101.37,24091738.0,0.0,0.0,0.0,0.0,0.35,5.95,2.45,20170123,0.0,0.0,-49.53,-52.09,0.0,36.46,476376,-19.54
207,601375,中原证券,证券,河南,70.98,7.0,39.24,4080920.0,0.0,0.0,0.0,0.0,0.14,2.49,5.33,20170103,0.0,0.0,-49.48,-56.24,0.0,34.57,602819,-19.43
309,002841,视源股份,元器件,广东,50.53,0.41,4.04,296005.66,242496.16,37068.73,0.0,0.0,1.474,3.02,32.86,20170119,69888.52,1.73,0.0,0.0,20.9,9.82,25449,-19.28
4,002774,快意电梯,运输设备,广东,36.21,0.84,3.35,89784.06,67999.3,13283.05,1699.9,0.05,0.294,1.83,5.82,20170324,13847.5,0.41,4.68,49.25,37.84,12.56,142948,-19.0
27,300626,华瑞股份,电气设备,浙江,48.45,0.25,1.0,79888.31,47178.48,23902.28,8107.97,0.81,0.395,3.65,5.24,20170320,11470.96,1.15,1.68,75.11,20.82,5.75,49456,-18.8
268,603239,浙江仙通,汽车配件,浙江,84.72,0.23,0.9,56566.51,30793.58,0.0,0.0,0.0,0.887,5.3,18.91,20161230,0.0,0.0,29.14,41.42,45.29,21.44,8271,-18.75
3046,002831,裕同科技,广告包装,深圳,40.42,0.4,4.0,525620.19,314531.28,122138.07,0.21,0.0,1.377,7.08,10.48,20161216,208163.94,5.2,20.25,23.22,33.49,15.34,29441,-18.72
1568,300568,星源材质,化工原料,深圳,64.01,0.3,1.2,187609.56,107099.72,47395.85,80850.77,6.74,1.68,10.28,8.07,20161201,25466.35,2.12,18.97,31.34,60.6,30.73,18985,-18.63
3004,603228,景旺电子,元器件,深圳,38.07,0.48,4.08,317009.59,194374.45,110117.42,3928.62,0.1,1.004,4.66,10.93,20170106,122314.7,3.0,22.78,26.67,31.89,17.07,43122,-18.18
2214,300607,拓斯达,专用机械,广东,103.83,0.18,0.72,54751.26,0.0,0.0,0.0,0.0,0.649,5.63,15.94,20170209,0.0,0.0,0.0,0.0,0.0,18.41,33272,-18.07
10,300631,久吾高科,环境保护,江苏,34.18,0.16,0.64,57826.46,42571.4,11932.55,162.5,0.03,0.671,8.16,2.81,20170323,31856.83,4.97,5.09,-14.37,42.92,17.51,29753,-18.06
3091,002843,泰嘉股份,钢加工,湖南,137.79,0.35,1.4,45768.3,21018.17,21532.0,3406.09,0.24,0.205,3.72,10.14,20170120,21476.49,1.53,0.0,0.0,39.48,15.57,64884,-17.25
3073,603637,镇海股份,建筑施工,浙江,74.33,0.26,1.02,53595.83,42537.15,6397.76,2942.37,0.29,0.475,4.84,9.73,20170208,18877.56,1.85,0.0,0.0,30.37,19.82,25801,-17.07
1,603833,N欧派,家居用品,广东,31.53,0.42,4.15,554842.75,219891.17,154291.38,65022.61,1.57,2.288,7.72,9.35,20170328,173348.88,4.18,27.23,94.39,36.55,13.31,39144,-16.87
2684,603389,亚振家居,家居用品,江苏,144.1,0.55,2.19,60124.23,39283.35,12430.91,4661.16,0.21,0.191,2.6,14.09,20161215,20086.35,0.92,0.0,0.0,58.99,11.17,51084,-16.29
15,603811,诚意药业,化学制药,浙江,66.89,0.21,0.85,36427.35,18099.63,11821.82,12287.0,1.44,0.8,4.38,12.21,20170315,6879.92,0.81,1.35,18.13,51.11,21.22,23201,-15.75
832,603859,能科股份,软件服务,北京,223.16,0.28,1.14,80474.81,71628.43,3835.38,28239.8,2.49,0.47,5.7,14.61,20161021,22468.57,1.98,3.33,9.51,49.86,18.55,13919,-15.58
0,300630,N普利,化学制药,海南,28.96,0.31,1.22,43972.15,17459.27,9017.96,10207.42,0.84,0.571,3.35,4.94,20170328,9244.87,0.76,22.28,37.62,76.75,28.14,55221,-14.71
2938,603579,荣泰健康,医疗保健,上海,49.53,0.18,0.7,108015.01,79340.77,13627.44,8505.99,1.22,3.94,8.6,17.01,20170111,28741.8,4.11,25.5,44.81,38.16,16.08,16236,-14.38
1664,002846,英联股份,广告包装,广东,102.37,0.3,1.2,39006.37,19542.35,14750.75,6129.35,0.51,0.462,3.18,14.88,20170207,11789.75,0.98,15.42,22.76,30.25,16.32,21776,-14.31
43,300627,华测导航,通信设备,上海,34.58,0.3,1.19,50236.1,44568.78,1471.15,7094.58,0.6,0.857,3.44,8.62,20170321,12881.53,1.08,33.14,93.07,55.15,21.18,54911,-14.01
703,002821,凯莱英,生物制药,天津,66.64,0.23,1.13,155990.27,80530.0,49337.9,35648.09,3.16,1.671,12.45,11.93,20161118,58084.82,5.15,0.0,0.0,53.8,24.0,19379,-13.67
2877,300571,平治信息,互联网,浙江,114.6,0.1,0.4,21942.17,18649.95,118.8,1189.55,0.3,0.889,4.97,27.32,20161213,9950.62,2.49,0.0,0.0,25.23,12.04,18553,-13.56
438,603429,集友股份,广告包装,安徽,135.52,0.17,0.68,30067.35,13154.02,14096.02,5862.21,0.86,0.49,3.6,24.62,20170124,7345.81,1.08,0.0,0.0,51.35,26.29,15758,-13.04
852,601128,常熟银行,银行,江苏,26.6,2.22,22.23,12551607.0,0.0,82973.1,69600.2,0.31,0.39,4.39,2.81,20160930,200559.3,0.9,0.0,0.0,0.0,23.85,182983,-12.82
52,603628,清源股份,电气设备,福建,181.24,0.68,2.74,117525.67,97856.28,13912.67,11301.3,0.41,0.178,2.6,16.52,20170112,20116.61,0.73,0.0,0.0,27.51,9.38,68468,-11.97
2967,603032,德新交运,公路,新疆,84.97,0.33,1.33,34404.12,25663.67,4976.48,1657.23,0.12,0.318,2.53,14.27,20170105,11475.32,0.86,-21.63,20.19,34.21,21.18,30496,-11.79
1041,603559,中通国脉,通信设备,吉林,179.82,0.22,0.88,56475.13,48641.28,4672.75,5630.26,0.64,0.248,4.6,12.92,20161202,14053.52,1.6,20.27,37.53,18.45,8.24,23814,-11.65
2980,002833,弘亚数控,专用机械,广东,46.47,0.33,1.33,46296.12,17007.1,22125.15,357.63,0.03,0.9,3.66,15.25,20161228,21249.15,1.59,38.32,74.66,40.15,30.65,58133,-10.97
1160,300526,中潜股份,专用机械,广东,294.7,0.21,0.85,74429.15,33867.21,8410.71,17009.09,2.0,0.34,5.64,18.99,20160802,19958.78,2.35,0.0,0.0,30.01,8.72,14092,-10.31
127,603626,科森科技,专用机械,江苏,72.86,0.53,2.11,129728.51,67467.31,47198.9,522.72,0.02,0.594,3.43,16.8,20170209,35369.07,1.68,0.0,0.0,31.23,13.86,54284,-10.17
2833,002832,比音勒芬,服饰,广东,48.43,0.27,1.07,82351.45,73079.35,323.55,3352.95,0.31,0.986,7.9,8.06,20161223,47741.76,4.48,0.0,0.0,62.69,17.36,47904,-9.75
3065,300577,开润股份,纺织,安徽,64.92,0.17,0.67,46515.8,34249.23,10867.58,5742.66,0.86,0.962,4.35,19.14,20161221,9938.2,1.49,66.52,42.54,28.16,11.54,30642,-8.56
3098,300612,宣亚国际,广告包装,北京,179.51,0.18,0.72,25120.46,22781.68,780.1,2129.62,0.3,0.384,2.93,31.42,20170215,7384.65,1.03,0.0,0.0,44.56,9.43,32979,-4.03
1046,603345,安井食品,食品,福建,56.71,0.54,2.16,217787.8,102998.75,93164.65,10929.17,0.51,0.589,5.89,7.57,20170222,64426.6,2.98,0.0,0.0,26.94,6.09,47707,-2.58
628,600908,无锡银行,银行,江苏,26.34,1.85,18.48,11931127.0,0.0,93544.71,97490.21,0.53,0.42,4.72,2.81,20160923,85009.95,0.46,0.0,0.0,0.0,36.68,153199,-0.76
57,002807,江阴银行,银行,江苏,49.44,2.09,17.67,10408489.0,0.0,56869.3,71443.8,0.4,0.48,4.95,4.39,20160902,249814.09,1.41,-1.39,-4.49,0.0,31.5,40421,-0.52
28,002858,力盛赛车,文教休闲,上海,35.94,0.16,0.63,27191.9,17527.09,5828.14,5264.85,0.83,0.517,4.7,3.95,20170324,11122.82,1.76,9.67,32.23,33.33,13.56,29413,0.0
14,002857,三晖电气,电器仪表,河南,39.26,0.2,0.8,32269.19,28367.94,987.67,604.82,0.08,0.501,3.84,5.13,20170323,14541.25,1.82,-4.28,4.0,46.98,19.96,36974,0.0
35,300629,新劲刚,矿物制品,广东,35.85,0.17,0.67,39283.85,27371.24,9031.75,5031.68,0.75,0.402,4.23,3.41,20170324,10057.5,1.51,0.59,21.76,31.63,10.95,30744,0.0
