,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
704,002611,东方精工,轻工机械,广东,107.97,2.93,6.42,303243.13,164719.67,53149.2,47788.35,0.74,0.12,2.32,7.01,20110830,33899.06,0.53,29.58,98.17,26.4,6.67,33505
311,300246,宝莱特,医疗保健,广东,59.17,1.08,1.46,67339.93,41444.12,8702.46,7427.56,0.51,0.35,3.06,9.03,20110719,20484.42,1.4,63.16,96.93,40.09,12.36,19642
1420,002600,江粉磁材,元器件,广东,60.71,5.13,11.77,1199659.0,746711.69,151928.77,372777.34,3.17,0.16,4.4,2.6,20110715,25068.17,0.21,189.55,844.28,9.23,2.02,95834
2161,300242,明家联合,互联网,广东,31.75,3.19,6.37,275014.25,101536.85,1032.07,128298.86,2.01,0.231,3.32,2.95,20110712,21875.45,0.34,221.13,746.15,13.32,7.08,21710
616,300238,冠昊生物,医疗保健,广东,154.09,1.89,2.66,160968.47,47015.95,18964.85,82747.21,3.11,0.044,5.26,5.19,20110706,27340.51,1.03,76.9,41.11,71.35,13.54,19614
160,002584,西陇科学,化工原料,广东,78.06,2.59,5.85,237254.84,137118.11,56363.21,67808.85,1.16,0.165,2.98,4.34,20110602,41162.0,0.7,16.5,6.6,14.95,3.31,22719
2189,300221,银禧科技,塑料,广东,40.47,4.01,5.01,325413.13,168724.16,67060.13,115131.11,2.3,0.1,4.1,3.41,20110525,37006.05,0.74,67.76,2.15,18.3,9.6,28646
174,300219,鸿利智汇,元器件,广东,30.95,5.36,6.71,330767.0,177953.73,71817.18,64768.58,0.97,0.3,2.84,4.19,20110518,54997.23,0.82,38.51,87.21,24.71,12.3,34425
2682,002579,中京电子,元器件,广东,37.78,3.5,3.78,156628.8,74286.63,66840.18,34813.21,0.92,0.31,2.63,4.23,20110506,22739.48,0.6,37.26,279.57,17.25,13.97,26091
1423,002575,群兴玩具,文教休闲,广东,682.16,5.89,5.89,92507.35,34122.43,30890.06,15371.74,0.26,0.022,1.54,9.59,20110422,13587.0,0.23,-21.5,-29.81,22.79,5.09,21433
1171,002572,索菲亚,家居用品,广东,51.34,2.89,4.62,533816.69,317373.0,116649.76,194157.63,4.21,1.48,8.42,8.77,20110412,131919.72,2.86,41.75,44.66,36.57,14.66,5345
595,300176,鸿特精密,汽车配件,广东,117.17,1.07,1.07,181044.13,72631.59,93895.75,31930.75,2.98,0.467,5.94,9.21,20110215,18423.56,1.72,0.0,30.96,22.45,3.5,5919
1917,300177,中海达,通信设备,广东,293.14,3.14,4.47,205759.27,148821.36,17789.17,84623.84,1.89,0.042,3.54,3.5,20110215,32531.21,0.73,20.01,1116.25,44.32,2.47,45231
1840,300173,智慧松德,轻工机械,广东,117.8,3.13,5.86,223092.02,121803.36,14106.1,81742.11,1.39,0.082,2.76,4.7,20110201,19532.01,0.33,-15.77,12.94,33.3,16.56,23153
115,002543,万和电气,家用电器,广东,19.21,3.37,4.4,534486.19,369374.34,77447.61,124905.4,2.84,0.286,6.93,3.17,20110128,124028.55,2.82,12.07,18.21,29.34,8.68,14073
2702,002544,杰赛科技,软件服务,广东,108.97,5.11,5.16,379706.19,311152.84,50396.25,21579.09,0.42,0.206,2.57,8.76,20110128,51717.67,1.0,17.54,-0.8,17.99,3.95,21974
2719,300155,安居宝,元器件,广东,303.41,2.74,5.43,143475.8,103472.36,22536.81,35752.48,0.66,0.025,2.08,4.78,20110107,18011.01,0.33,4.5,-55.16,40.58,2.51,26000
1370,300149,量子高科,食品,广东,126.15,4.05,4.22,79316.4,51450.48,14740.65,8024.13,0.19,0.154,1.82,10.65,20101222,23187.1,0.55,-18.83,9.27,50.51,25.12,19000
1744,300147,香雪制药,中成药,广东,107.5,6.6,6.61,798872.69,298080.94,154443.41,213430.3,3.23,0.1,5.13,2.09,20101215,50941.15,0.77,27.14,-62.76,31.58,3.55,34276
1592,300146,汤臣倍健,食品,广东,29.04,8.71,14.7,532835.81,322951.09,60158.3,199443.55,1.36,0.37,3.18,3.32,20101215,100364.46,0.68,1.9,-15.78,64.4,23.18,52884
3069,300143,星河生物,种植业,广东,126.65,1.06,2.88,253393.55,141752.13,469.33,216107.52,7.49,0.22,7.65,3.16,20101209,-29318.34,-1.02,54.37,420.77,40.23,12.74,6888
1428,002512,达华智能,元器件,广东,203.0,5.72,10.95,553046.31,279563.22,50146.06,110391.57,1.01,0.057,2.46,6.28,20101203,45728.32,0.42,284.94,40.96,15.14,2.65,19745
2559,002511,中顺洁柔,造纸,广东,32.13,4.84,5.05,451763.75,203357.7,216449.25,138444.88,2.74,0.15,5.53,3.46,20101125,95633.0,1.89,20.86,65.23,36.4,7.29,15791
2401,002503,搜于特,服饰,广东,63.61,8.13,15.62,719470.38,582695.31,40483.37,242627.22,1.55,0.26,3.31,4.45,20101117,99472.09,0.64,218.74,86.47,17.69,5.72,18735
